,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Coastal Flooding - Number of Events,Coastal Flooding - Annualized Frequency,Coastal Flooding - Expected Annual Loss Rate - National Percentile,Drought - Number of Events,Drought - Annualized Frequency,Drought - Expected Annual Loss Rate - National Percentile,Heat Wave - Number of Events,Heat Wave - Annualized Frequency,Heat Wave - Expected Annual Loss Rate - National Percentile,Hurricane - Number of Events,Hurricane - Annualized Frequency,Hurricane - Expected Annual Loss Rate - National Percentile,Riverine Flooding - Number of Events,Riverine Flooding - Annualized Frequency,Riverine Flooding - Expected Annual Loss Rate - National Percentile
82,73070.0,T48201231800,Texas,TX,Harris,231800.0,3042.0,1.1,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.13,19.0,0.18,87.43,126.0,0.0,0.0
83,73071.0,T48201231900,Texas,TX,Harris,231900.0,6633.0,3.53,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,51.72,20.0,0.18,87.26,126.0,5.25,97.91
84,73072.0,T48201232000,Texas,TX,Harris,232000.0,4371.0,6.42,,0.01,77.67,266.0,12.09,0.0,2.0,0.12,53.07,20.0,0.18,87.86,126.0,5.25,97.47
85,73073.0,T48201232100,Texas,TX,Harris,232100.0,3803.0,1.26,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,53.0,20.0,0.18,87.42,126.0,5.25,98.75
86,73074.0,T48201232201,Texas,TX,Harris,232201.0,5754.0,1.74,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.89,19.0,0.18,87.83,126.0,5.25,97.66
87,73075.0,T48201232202,Texas,TX,Harris,232202.0,5698.0,2.19,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.09,19.0,0.18,87.67,126.0,5.25,98.4
88,73076.0,T48201232203,Texas,TX,Harris,232203.0,5924.0,3.88,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.85,20.0,0.18,87.75,126.0,5.25,95.18
89,73077.0,T48201232303,Texas,TX,Harris,232303.0,6451.0,5.16,,0.01,75.9,266.0,12.09,0.0,2.0,0.12,51.86,20.0,0.18,87.4,126.0,5.25,93.1
90,73078.0,T48201232304,Texas,TX,Harris,232304.0,7763.0,4.81,,3.76,77.33,266.0,12.09,93.7,2.0,0.12,51.75,18.0,0.18,87.24,126.0,5.25,89.98
91,73079.0,T48201232305,Texas,TX,Harris,232305.0,10954.0,2.86,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,51.82,19.0,0.18,87.25,126.0,5.25,0.0
92,73080.0,T48201232306,Texas,TX,Harris,232306.0,3644.0,1.66,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.45,18.0,0.18,87.21,126.0,5.25,40.36
93,73081.0,T48201232402,Texas,TX,Harris,232402.0,3820.0,0.55,,0.01,75.02,266.0,12.09,0.0,2.0,0.12,52.62,18.0,0.18,88.0,126.0,5.25,70.53
94,73082.0,T48201232403,Texas,TX,Harris,232403.0,4575.0,0.79,,0.01,74.36,266.0,12.09,0.0,2.0,0.12,52.64,18.0,0.18,88.13,126.0,5.25,72.62
95,73083.0,T48201232404,Texas,TX,Harris,232404.0,3652.0,1.47,,0.01,81.43,266.0,12.09,0.0,2.0,0.12,51.84,18.0,0.18,87.97,126.0,5.25,98.56
96,73084.0,T48201232405,Texas,TX,Harris,232405.0,5832.0,4.19,,3.76,77.67,266.0,12.09,0.0,2.02,0.12,53.1,18.0,0.18,87.09,126.0,5.25,82.58
97,73085.0,T48201232500,Texas,TX,Harris,232500.0,3157.0,4.5,,0.01,78.6,266.0,12.09,0.0,2.0,0.12,52.33,19.0,0.18,87.38,126.0,5.25,97.83
98,73086.0,T48201232600,Texas,TX,Harris,232600.0,2892.0,2.39,,0.76,84.65,266.0,12.09,0.0,2.0,0.12,52.73,19.0,0.18,87.38,126.0,5.25,99.69
99,73087.0,T48201232701,Texas,TX,Harris,232701.0,7066.0,1.82,,0.76,80.95,266.0,12.09,0.0,2.0,0.12,52.21,19.0,0.18,87.29,126.0,5.25,95.33
100,73088.0,T48201232703,Texas,TX,Harris,232703.0,2740.0,0.26,,0.01,83.21,266.0,12.09,0.0,2.0,0.12,52.56,19.0,0.18,87.62,126.0,5.25,98.28
101,73089.0,T48201232704,Texas,TX,Harris,232704.0,2009.0,1.5,,3.76,81.83,266.0,12.09,0.0,2.0,0.12,51.86,19.0,0.18,87.17,126.0,5.25,97.79
102,73090.0,T48201232801,Texas,TX,Harris,232801.0,2621.0,0.36,,3.76,81.35,266.0,12.09,0.0,2.0,0.12,52.19,19.0,0.18,87.94,126.0,5.25,93.65
103,73091.0,T48201232802,Texas,TX,Harris,232802.0,2715.0,0.44,,3.76,80.28,266.0,12.09,0.0,2.0,0.12,52.93,19.0,0.18,88.04,126.0,5.25,96.26
104,73092.0,T48201232901,Texas,TX,Harris,232901.0,3992.0,0.95,,3.76,80.87,266.0,12.09,0.0,2.0,0.12,52.16,18.0,0.18,87.85,126.0,5.25,94.37
105,73093.0,T48201232902,Texas,TX,Harris,232902.0,4380.0,0.34,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,51.97,18.0,0.18,87.85,126.0,0.0,0.0
106,73094.0,T48201233001,Texas,TX,Harris,233001.0,4163.0,0.37,,0.0,0.0,266.0,12.09,0.0,2.0,0.12,52.91,18.0,0.18,88.05,126.0,0.0,0.0
107,73095.0,T48201233002,Texas,TX,Harris,233002.0,4040.0,0.67,,0.0,70.37,266.0,12.09,0.0,2.02,0.13,53.1,18.0,0.18,87.37,126.0,0.0,0.0
108,73096.0,T48201233003,Texas,TX,Harris,233003.0,2470.0,0.4,,0.0,74.67,266.0,12.09,0.0,2.0,0.12,52.17,18.0,0.18,87.96,126.0,0.0,0.0
109,73097.0,T48201233101,Texas,TX,Harris,233101.0,4640.0,0.67,,0.0,72.7,266.0,12.09,0.0,2.0,0.12,51.8,18.0,0.18,87.3,126.0,0.0,0.0
110,73098.0,T48201233103,Texas,TX,Harris,233103.0,5475.0,0.64,,0.01,74.52,266.0,12.09,0.0,2.0,0.12,52.62,19.0,0.18,87.58,126.0,5.25,53.86
111,73099.0,T48201233104,Texas,TX,Harris,233104.0,3110.0,0.31,,0.0,75.95,266.0,12.09,0.0,2.0,0.12,52.22,18.0,0.18,88.14,126.0,0.0,0.0
112,73100.0,T48201233105,Texas,TX,Harris,233105.0,3734.0,0.64,,3.76,79.41,266.0,12.09,0.0,2.08,0.13,53.2,18.0,0.18,87.85,126.0,5.25,83.97
113,73101.0,T48201233200,Texas,TX,Harris,233200.0,6461.0,1.24,,3.76,83.15,266.0,12.09,0.0,2.0,0.12,52.18,19.0,0.18,87.39,126.0,5.25,98.81
114,73102.0,T48201233300,Texas,TX,Harris,233300.0,4468.0,4.68,,3.76,91.42,266.0,12.09,0.0,2.0,0.12,52.73,20.0,0.18,87.03,126.0,5.25,99.05
115,73103.0,T48201233400,Texas,TX,Harris,233400.0,2566.0,1.02,,0.01,75.02,266.0,12.09,0.0,2.0,0.12,51.86,19.0,0.18,87.61,126.0,5.25,77.57
116,73104.0,T48201233501,Texas,TX,Harris,233501.0,3702.0,0.56,,0.76,75.37,266.0,12.09,0.0,2.0,0.12,51.73,19.0,0.18,87.42,126.0,5.25,72.3
117,73105.0,T48201233502,Texas,TX,Harris,233502.0,3346.0,0.54,,0.01,72.92,266.0,12.09,0.0,2.0,0.12,51.8,19.0,0.18,87.25,126.0,5.25,68.35
118,73106.0,T48201233600,Texas,TX,Harris,233600.0,2424.0,1.54,,0.0,0.0,266.0,12.09,95.33,2.0,0.12,52.89,20.0,0.18,87.99,126.0,0.0,0.0
119,73107.0,T48201233701,Texas,TX,Harris,233701.0,5171.0,2.89,,3.76,84.4,266.0,12.09,0.0,2.0,0.12,51.66,20.0,0.18,87.12,126.0,5.25,97.84
120,73108.0,T48201233702,Texas,TX,Harris,233702.0,2932.0,0.96,,3.76,81.66,266.0,12.09,0.0,2.0,0.12,51.55,20.0,0.18,87.16,126.0,5.25,81.06
121,73109.0,T48201233703,Texas,TX,Harris,233703.0,2655.0,2.86,,3.76,91.53,266.0,12.09,0.0,2.0,0.12,51.81,20.0,0.18,87.08,126.0,5.25,99.37
122,73110.0,T48201240101,Texas,TX,Harris,240101.0,1991.0,0.64,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.34,16.0,0.18,87.22,126.0,5.25,99.95
123,73111.0,T48201240102,Texas,TX,Harris,240102.0,1835.0,0.75,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.06,16.0,0.18,87.46,126.0,5.25,99.48
124,73112.0,T48201240400,Texas,TX,Harris,240400.0,7982.0,8.19,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.05,19.0,0.18,86.89,126.0,5.25,97.94
125,73113.0,T48201240503,Texas,TX,Harris,240503.0,1922.0,0.08,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.65,16.0,0.18,88.11,126.0,5.25,99.8
126,73114.0,T48201240504,Texas,TX,Harris,240504.0,3321.0,0.17,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,51.6,16.0,0.18,87.59,126.0,5.25,99.78
127,73115.0,T48201240505,Texas,TX,Harris,240505.0,1483.0,0.13,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.65,16.0,0.18,88.0,126.0,5.25,99.81
128,73116.0,T48201240506,Texas,TX,Harris,240506.0,5074.0,1.1,,0.0,0.0,273.0,12.41,0.0,2.0,0.12,52.84,17.0,0.18,87.43,126.0,5.25,96.26
