OBJECTID,Name,Label,Park_ID,Park_Acres,ShapeSTArea,ShapeSTLength
1045,Wilson Memorial Park,Wilson Memorial Park,PN4778,28.83,1255676.17352489,4746.7125940273
1046,Unknown,Unknown,PN4780,6.23,271543.006216796,4795.93418375292
1047,Unknown,Unknown,PN4787,0.15,6453.18648991718,339.347641675996
1048,Unknown,Unknown,PN4788,5.91,257366.378075921,2498.70620254184
1049,Unknown,Unknown,PN4789,25.65,1117307.20746888,4358.65201890407
1050,Chimney Rock Park,Chimney Rock Park,PN4810,3.67,159699.760861689,1971.01117331839
1051,Law Park,Law Park,PN4821,52.66,2293837.53729927,7045.01345809123
1052,Freeway Manor Park,Freeway Manor Park,PN4829,9.81,427259.99750905,2907.6088932989
1053,San Bernard,San Bernard,PN483,1195.02,52055205.4379347,48199.700576679
1054,San Bernard,San Bernard,PN488,68.15,2968495.82539414,12031.3459453955
1055,Fairmont Park,Fairmont Park,PN4890,5.92,257895.678990399,2616.42070192757
1056,Little Cedar Bayou Park,Little Cedar Bayou Park,PN4894,31.34,1365299.70830313,12097.4922897032
1057,City of Houston Golf Course,City of Houston Golf Course,PN4915,214.38,9338556.04101871,12589.8142268079
1058,Sunnyside Park,Sunnyside Park,PN4916,292.9,12758927.7133206,23993.9275407267
1059,Unknown,Unknown,PN4919,1,43361.694510198,908.675282074119
1060,Cater Park,Cater Park,PN4922,3.39,147686.658288332,1797.9663176796
1061,Unknown,Unknown,PN4936,4.57,199271.40610286,2229.77161179138
1062,Sylvan Beach Park,Sylvan Beach Park,PN4938,29.63,1290851.25123063,6480.03573076369
1063,Westbury Park,Westbury Park,PN4939,5.95,259400.583167352,2043.02314118632
1064,Christy Park,Christy Park,PN4944,5.62,244646.778561008,2829.52321681124
1065,Willow Park,Willow Park,PN4954,11.46,499164.754282863,3304.39021493963
1066,San Bernard,San Bernard,PN496,297.99,12980318.3795074,20616.9453051827
1067,Garden City Park,Garden City Park,PN4962,11.55,502961.126813488,2829.81279102018
1068,Dow Park,Dow Park,PN4966,13,566287.274737311,3018.46062941503
1069,Fairmont Park,Fairmont Park,PN4967,19.86,865070.807618289,3880.32917815102
1070,Unknown,Unknown,PN4968,4.52,197046.775593807,2129.88110104439
1071,Unknown,Unknown,PN497,37.18,1619615.62778707,5226.57319520672
1072,Unknown,Unknown,PN4976,1.16,50407.3566452414,1397.35555218435
1073,Unknown,Unknown,PN4987,2.03,88337.5010688234,1918.03272623992
1074,San Bernard,San Bernard,PN499,1614.15,70312498.0448778,38812.5076309468
1075,Unknown,Unknown,PN4991,10.95,477120.458652525,2743.30733907414
1076,Unknown,Unknown,PN4994,5.97,260042.747863987,2586.20600363581
1077,Unknown,Unknown,PN4995,3.42,148810.582239529,1844.60612185963
1078,Varner-Hogg Plantation State Historical Park,Varner-Hogg Plantation State Historical Park,PN500,66.79,2909305.86086905,8372.35750522317
1079,Godwin Park,Godwin Park,PN5006,8.23,358382.40943401,2416.09803893014
1080,City of Pasadena Park,City of Pasadena Park,PN5007,8.22,358236.439624027,2394.45542596798
1081,Strawberry Park,Strawberry Park,PN5009,47.98,2089894.68913278,5914.87982664107
1082,COLUMBIA LAKES GOLF COURSE,COLUMBIA LAKES GOLF COURSE,PN501,34.75,1513920.73539615,9999.41486299621
1083,Unknown,Unknown,PN5010,1.03,45036.4492243485,963.927411450362
1084,City of Houston Park,City of Houston Park,PN5011,5.83,253831.524367082,2104.47331998833
1085,Unknown,Unknown,PN5012,7.32,318694.982796137,2989.25148041212
1086,City of Houston Park,City of Houston Park,PN5016,1.63,70883.6765709693,1541.90381466519
1087,COLUMBIA LAKES GOLF COURSE,COLUMBIA LAKES GOLF COURSE,PN502,50.53,2200892.00446164,12989.2345400058
1088,Bayou Bend Park,Bayou Bend Park,PN5020,9.66,420791.949805469,2756.81208400925
1089,Unknown,Unknown,PN5025,0.46,19834.7143963408,566.37164873803
1090,Unknown,Unknown,PN5027,0.6,25931.4218311307,661.699966264032
1091,Unknown,Unknown,PN5028,1.8,78576.924172254,1466.21981922478
1092,City of Houston Park,City of Houston Park,PN5029,7.57,329587.806020137,2357.58501140447
1093,COLUMBIA LAKES GOLF COURSE,COLUMBIA LAKES GOLF COURSE,PN503,8.44,367673.429518698,3756.42129891134
1094,Unknown,Unknown,PN5030,2.31,100682.339428087,2101.0728964532
1095,City of Pasadena Park,City of Pasadena Park,PN5034,2.7,117461.021170785,1430.76573285336
