,NRI_ObjectID,National Risk Index ID,State Name,State Name Abbreviation,County Name,Census Tract,Population (2020),Area (sq mi),Hurricane - Number of Events,Hurricane - Annualized Frequency,Hurricane - Expected Annual Loss Rate - National Percentile
450,73438,T48201343700,Texas,TX,Harris,343700,3310,16.02,23,0.21,88.18
451,73439,T48201350101,Texas,TX,Harris,350101,5269,2.13,21,0.21,88.45
452,73440,T48201350102,Texas,TX,Harris,350102,4830,1.78,23,0.21,88.34
453,73441,T48201350103,Texas,TX,Harris,350103,7487,1.72,23,0.21,88.41
454,73442,T48201350104,Texas,TX,Harris,350104,4850,2.22,24,0.21,88.51
455,73443,T48201350201,Texas,TX,Harris,350201,3740,0.65,21,0.21,88.47
456,73444,T48201350202,Texas,TX,Harris,350202,4684,0.73,21,0.21,88.61
457,73445,T48201350300,Texas,TX,Harris,350300,6002,0.89,21,0.21,88.45
458,73446,T48201350400,Texas,TX,Harris,350400,6235,1.04,21,0.21,88.56
459,73447,T48201350500,Texas,TX,Harris,350500,7117,2.28,21,0.21,88.28
460,73448,T48201350601,Texas,TX,Harris,350601,4372,5.21,21,0.21,88.34
461,73449,T48201350603,Texas,TX,Harris,350603,4631,0.68,21,0.21,88.58
462,73450,T48201350604,Texas,TX,Harris,350604,3941,0.57,21,0.21,88.42
463,73451,T48201350700,Texas,TX,Harris,350700,2326,0.57,22,0.21,88.46
464,73452,T48201350801,Texas,TX,Harris,350801,5098,0.74,22,0.21,88.45
465,73453,T48201350803,Texas,TX,Harris,350803,2830,1.6,22,0.21,88.48
466,73454,T48201350804,Texas,TX,Harris,350804,5648,4.25,22,0.21,88.42
467,73455,T48201410101,Texas,TX,Harris,410101,2159,0.17,20,0.18,87.16
468,73456,T48201410102,Texas,TX,Harris,410102,4007,0.31,20,0.18,87.19
469,73457,T48201410201,Texas,TX,Harris,410201,2176,0.25,20,0.18,87.15
470,73458,T48201410202,Texas,TX,Harris,410202,3361,0.26,20,0.18,86.96
471,73459,T48201410300,Texas,TX,Harris,410300,3722,0.4,19,0.18,87.67
472,73460,T48201410401,Texas,TX,Harris,410401,3985,0.34,19,0.18,86.98
473,73461,T48201410402,Texas,TX,Harris,410402,2623,0.28,20,0.18,87.28
474,73462,T48201410501,Texas,TX,Harris,410501,1746,0.22,20,0.18,86.99
475,73463,T48201410502,Texas,TX,Harris,410502,3070,0.21,20,0.18,87.06
476,73464,T48201410601,Texas,TX,Harris,410601,3444,0.25,20,0.18,87.27
477,73465,T48201410602,Texas,TX,Harris,410602,2508,0.15,20,0.18,87.69
478,73466,T48201410703,Texas,TX,Harris,410703,2179,0.23,20,0.18,86.92
479,73467,T48201410704,Texas,TX,Harris,410704,1895,0.2,20,0.18,87.33
480,73468,T48201410705,Texas,TX,Harris,410705,916,0.19,20,0.18,86.96
481,73469,T48201410706,Texas,TX,Harris,410706,1738,0.17,20,0.18,87.89
482,73470,T48201410801,Texas,TX,Harris,410801,2578,0.21,19,0.18,87.41
